Region,Country,ISO Code,RE or Non-RE,Group Technology,Technology,Poducer Type,Year,Electricity Installed Capacity (MW)
Europe,Lithuania,LTU,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,On-grid,2017,37
Europe,Lithuania,LTU,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,On-grid,2018,38
Europe,Lithuania,LTU,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,On-grid,2019,38
Europe,Lithuania,LTU,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,On-grid,2020,51
Europe,Lithuania,LTU,Total Non-Renewable,Pumped storage,Pumped storage,On-grid,2016,760
Europe,Lithuania,LTU,Total Non-Renewable,Pumped storage,Pumped storage,On-grid,2017,760
Europe,Lithuania,LTU,Total Non-Renewable,Pumped storage,Pumped storage,On-grid,2018,760
Europe,Lithuania,LTU,Total Non-Renewable,Pumped storage,Pumped storage,On-grid,2019,760
Europe,Lithuania,LTU,Total Non-Renewable,Pumped storage,Pumped storage,On-grid,2020,760
Europe,Lithuania,LTU,Total Renewable,Bioenergy,Solid biofuels,On-grid,2016,39
Europe,Lithuania,LTU,Total Renewable,Bioenergy,Solid biofuels,On-grid,2017,45
Europe,Lithuania,LTU,Total Renewable,Bioenergy,Solid biofuels,On-grid,2018,62
Europe,Lithuania,LTU,Total Renewable,Bioenergy,Solid biofuels,On-grid,2019,62
Europe,Lithuania,LTU,Total Renewable,Bioenergy,Solid biofuels,On-grid,2020,62
Europe,Lithuania,LTU,Total Renewable,Bioenergy,Biogas,On-grid,2016,25
Europe,Lithuania,LTU,Total Renewable,Bioenergy,Biogas,On-grid,2017,25
Europe,Lithuania,LTU,Total Renewable,Bioenergy,Biogas,On-grid,2018,35
Europe,Lithuania,LTU,Total Renewable,Bioenergy,Biogas,On-grid,2019,35
Europe,Lithuania,LTU,Total Renewable,Bioenergy,Biogas,On-grid,2020,36
Europe,Lithuania,LTU,Total Renewable,Bioenergy,Renewable municipal waste,On-grid,2016,8
Europe,Lithuania,LTU,Total Renewable,Bioenergy,Renewable municipal waste,On-grid,2017,9
Europe,Lithuania,LTU,Total Renewable,Bioenergy,Renewable municipal waste,On-grid,2018,7
Europe,Lithuania,LTU,Total Renewable,Bioenergy,Renewable municipal waste,On-grid,2019,7
Europe,Lithuania,LTU,Total Renewable,Bioenergy,Renewable municipal waste,On-grid,2020,20
Europe,Lithuania,LTU,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2016,117
